i	j	width	length	elev	max upcells
43	42	61.3700000000000	3.09972639148179	719.142857142857	5255
43	43	61.3700000000000	2.13981581951168	708	5255
42	43	61.9306271926352	7.24282533045758	707.538461538462	5777
42	44	62.4600000000000	1.81723225013351	695.250000000000	5777
41	44	65.1559283283084	6.03590199432306	693.071428571429	6640
40	44	67.8079280872846	5.89244620157412	669.300000000000	6934
39	44	70.5008914815899	2.88435861604580	660.285714285714	7453
39	43	72.7133255162798	5.77139479169246	647.187500000000	8315
38	43	74.3644538821975	1.98557518250772	647.666666666667	8315
38	42	75.1000000000000	5.70897715237347	651.428571428571	8315
38	41	75.7911357063140	2.13731119672852	634.600000000000	8655
37	41	77.0900000000000	6.60409827177447	625.466666666667	8655
37	40	77.2191124957668	2.74515511974880	622.666666666667	8920
36	40	87.8733605586919	5.80440638152170	601.111111111111	9380
36	39	89.3300000000000	0.557640043427160	589.500000000000	9380
35	39	90.6747798604259	3.84224410342988	588.625000000000	12058
35	40	91.0422492359253	3.90070343042765	581.800000000000	12443
34	40	94.4500000000000	6.12419569818076	564.800000000000	12443
33	40	95.9974399109329	5.70068286224831	551.833333333333	13597
32	40	96.7116560269654	6.52521441456047	539.230769230769	13974
31	40	97.3000000000000	1.99367345540730	532.200000000000	13974
31	39	99.2384930538141	3.94041796020902	525.166666666667	14673
30	39	99.7600000000000	6.07345736054118	514.428571428571	14673
29	39	99.7600000000000	5.87087191924949	502.200000000000	14673
29	38	99.7600000000000	0.556470068610187	495	14673
28	38	101.167019121415	6.35080264234748	487.571428571429	15541
