i	j	width	length	elev	max upcells
15	33	49.6500000000000	1.20368657755615	327.666666666667	5355
14	33	49.6500000000000	3.63301883763584	328.846153846154	5355
14	32	49.8906029399058	2.42900034474976	317.545454545455	6204
13	33	51.7600000000000	0.553890728967023	311.333333333333	6204
13	32	51.7600000000000	5.77822660969429	311	6204
12	32	52.6936119883829	6.40544063180818	275.071428571429	6476
11	32	59.8400000000000	1.58797696060510	258.400000000000	6476
11	33	55.6219713022296	7.33033186581356	255	9297
10	33	41.2100000000000	6.22270678549526	244.875000000000	9297
9	33	41.2100000000000	2.76323755639671	239.600000000000	9297
9	32	41.2100000000000	4.12930014299026	239.500000000000	9297
9	31	41.8039476232786	4.88107610914582	220	9774
9	30	43.0100000000000	2.26378659526469	207	9774
9	29	43.1961687728434	4.50437768461128	201.750000000000	10420
9	28	44.1200000000000	4.62997793082003	207	10420
9	27	46.4769126761559	5.40994095594321	192.428571428571	12397
9	26	48.0536511039892	1.28347550044362	192.500000000000	12397
10	26	49.1700000000000	4.15339471196528	191.285714285714	12397
10	25	49.1700000000000	4.13144951883579	178	12397
10	24	103.449323891519	4.00611264650981	168.142857142857	13904
10	23	116.080000000000	5.08243532045522	159.5	13904
