i	j	width	length	elev	max upcells
36	11	60.0600000000000	2.82304582398780	660.400000000000	5394
36	12	62.8013233889417	4.83779094742057	657.083333333333	5980
36	13	66.5900000000000	3.17332096149644	657	5980
35	13	66.6430984575830	5.24991874741171	647.454545454546	6771
35	14	68.2482888255621	3.63923506499204	643.444444444445	7037
34	14	69.2559194875444	1.87403400314417	640	7362
34	15	72.6758137448819	5.79087656937596	634.357142857143	7747
34	16	76.6379121910492	7.08957693223593	631.933333333333	9080
34	17	78.5000000000000	5.01436586894282	625.272727272727	9080
33	17	78.5000000000000	2.01260953942864	613.555555555556	9080
33	18	80.0232631700667	5.20056744082137	599.818181818182	9523
33	19	81.6604876923923	5.07616134132085	604.923076923077	10124
33	20	86.3500000000000	4.82883246460477	602.750000000000	10124
33	21	88.0178310162697	4.95276710386694	583.666666666667	11577
33	22	98.5400000000000	5.44801680342893	571.500000000000	11577
33	23	106.423113082296	5.78823693833897	564.300000000000	14674
33	24	110.372356335598	4.33442599267754	553.250000000000	17910
33	25	114.119551531078	4.33429788137251	546.600000000000	19459
33	26	116.193525908609	3.41798780008756	541.555555555556	19779
32	26	117.257195134165	3.66655825574151	535.500000000000	20459
32	27	120.814924033575	3.71170522227247	530.285714285714	21246
31	27	122.790000000156	3.83550831950672	523.666666666667	22526
31	28	127.460000000000	2.59710735093887	520	22526
30	28	114.132501514562	7.07567057918114	519.500000000000	24328
30	29	94.9781669714039	3.95083317781648	515.166666666667	27123
30	30	70.9100000000000	6.11836849828272	510.538461538462	27123
30	31	71.8214653025076	5.06805392856713	500.384615384615	28131
30	32	73.7900000000000	2.22663262430593	495.500000000000	28131
29	32	75.7856769187869	4.29544576286846	491.888888888889	29717
29	33	78.3400000000000	3.94819367510880	490	29717
29	34	83.4287857923793	4.56814429153056	482.923076923077	34496
29	35	157.740000000000	1.17291389516407	480.750000000000	34496
28	35	157.768512894664	3.89061578564753	478.250000000000	36620
28	36	150.242691482870	5.74763419710291	474.250000000000	37376
27	36	99.0400000000000	0.432093580081033	472.333333333333	37376
27	37	99.7778534558670	6.94615177736768	473.500000000000	56753
27	38	102.760000000000	0.863753342294996	471.250000000000	56753
26	38	102.760000000000	5.15394238706583	467	56753
26	39	103.236874728356	4.18590408671055	464.111111111111	57359
26	40	104.567659951648	3.93684788703477	457	58825
26	41	105.435782443281	4.18548411503669	454.625000000000	59714
26	42	105.930000000000	1.29494330421971	455.400000000000	59714
25	42	106.040472057844	3.38706873703554	456.500000000000	60595
25	43	109.602418087303	4.68155877124596	445.384615384615	65997
25	44	116.110000000000	4.92927766537440	441.500000000000	65997
25	45	116.110000000000	3.07832517867002	441.200000000000	65997
24	45	118.112210809025	5.92925605507248	435.454545454545	72895
23	46	122.923900260822	5.29770482993870	428.545454545455	79262
23	47	123.378595141988	3.25885859824142	425.444444444444	82548
