i	j	width	length	elev	max upcells
29	10	60.0100000000000	1.20489948059983	474.666666666667	5167
29	9	60.0100000000000	3.72272849450102	467	5167
28	9	60.0100000000000	6.59477103853544	464.272727272727	5167
27	9	60.0100000000000	0.432093580079675	471.333333333333	5167
27	10	61.4869621490221	5.55152752760669	430.666666666667	7343
27	11	64.6520763242043	6.11220182247677	441.818181818182	5590
26	10	71.2373358561099	3.67310230123866	402.555555555556	7829
26	11	72.6300000000000	5.05598948778810	396.333333333333	7829
26	12	72.6300000000000	2.15824652632568	399.200000000000	7829
25	12	78.2907111110617	2.52400906108895	402	8109
25	13	83.4200000000000	1.60213894570741	400.800000000000	8109
26	13	87.2752051946428	2.83154478565384	376.428571428571	10683
26	14	89.0500000000000	4.93125012724990	371.142857142857	10683
26	15	89.4374685175641	0.738955335331459	357.500000000000	11998
25	15	91.2523779737723	3.81859964553630	351.857142857143	12302
25	16	51.2265507303439	4.55658980634955	344.400000000000	12993
25	17	49.6656575099703	5.05333431888024	330.538461538462	13417
25	18	51.7500000000000	1.41865401224083	324.571428571429	13417
24	18	51.7500000000000	2.55918978205090	322.500000000000	13417
24	19	53.9998044655469	5.17569297386634	317.785714285714	16370
24	20	56.3655310307020	4.30364655102468	308.375000000000	17409
24	21	56.7143026874281	3.07608960153689	314.111111111111	17628
23	21	56.9700000000000	1.72457292391711	302.333333333333	17628
23	22	58.9798419573555	7.79815763197243	299.562500000000	19296
23	23	59.5900000000000	0.430934793144606	289.333333333333	19296
22	23	59.7140869351846	4.73943471642692	279.125000000000	19475
22	24	62.0590362011973	5.72252423459447	275.181818181818	21515
22	25	64.7700000000000	1.11061251182731	267.500000000000	21515
21	25	67.1589684464189	6.40793779253250	260.090909090909	23061
21	26	71.4100000000000	1.41610267996550	253.250000000000	23061
20	26	72.3206855112574	2.83181021921843	253.125000000000	28001
20	25	73.0086814430213	4.16684302208427	242.714285714286	29478
20	24	73.8300000000000	5.41328892456862	240.923076923077	29478
20	23	73.8300000000000	3.19261652815524	231.833333333333	29478
19	23	73.8300000000000	3.14625988271467	228.166666666667	29478
19	22	73.8300000000000	4.24484648791657	223.125000000000	29478
18	22	74.3806700332157	7.55643946590277	217.933333333333	30235
17	22	78.5382730478281	1.06356444213741	217.500000000000	30500
17	23	80.4269825102721	6.01801313639342	212.076923076923	35278
16	23	84.4400000000000	1.71260362423100	204.125000000000	35278
16	22	84.5046841037435	11.0130409208797	205.235294117647	39022
16	21	98.5301607093007	1.24241324271235	193.333333333333	39495
15	22	100.470000000000	3.04806764862644	189.428571428571	39495
15	21	100.470000000000	3.59194012515095	187.777777777778	39495
14	22	100.470000000000	0.554117403064503	186.333333333333	39495
14	21	100.859961771201	8.03264472121512	178.600000000000	55446
13	21	101.622973779817	7.07199754170313	173.666666666667	56341
12	21	102.234371081590	6.28120369031415	160.583333333333	57275
12	22	102.625516344140	1.98874864243711	155.666666666667	57445
11	22	105.272859470999	5.74017797774058	152.300000000000	59682
10	22	116.964992519188	3.09515244813794	149.400000000000	73617
10	21	126.231101002942	5.12281831870374	151.333333333333	87020
9	21	126.475620936395	4.43952244789346	147.625000000000	87483
9	20	126.864976485674	2.86820993433385	145.875000000000	87483
8	21	127.370000000000	0.508209082490544	145.666666666667	87483
8	20	127.370000000000	5.38145197215917	146.125000000000	87483
8	19	127.413936824989	1.89809334264062	137.600000000000	88915
7	19	127.757047396118	10.3210101327434	143.789473684211	89465
6	19	128.740000000000	1.58286536411969	155.200000000000	89465
6	18	128.740000000000	6.59591920832063	154.888888888889	89465
